group,names,scores,logfoldchanges,pvals,pvals_adj
CD14+ Monocytes,MDP1,-20.050777,,1.9871319116877017e-89,1.3517904161140828e-88
CD14+ Monocytes,AFAP1L2,-20.08188,5.0951676,1.0629299529173254e-89,7.255494559162631e-89
CD14+ Monocytes,ADAM8,-20.08542,,9.89828702296936e-90,6.779648645869425e-89
CD14+ Monocytes,BAZ2A,-20.100256,,7.341278327346728e-90,5.0455521150149335e-89
CD14+ Monocytes,CNIH4,-20.136055,,3.566317217669558e-90,2.4852384792122357e-89
CD14+ Monocytes,PIGT,-20.186895,,1.2763644277728984e-90,9.020243305815536e-90
CD14+ Monocytes,KCNC3,-20.18887,1.0824431,1.226388297537485e-90,8.697789344237483e-90
CD14+ Monocytes,SPPL2A,-20.192272,,1.1447639404886326e-90,8.147786053299876e-90
CD14+ Monocytes,RNF25,-20.213984,,7.374947064871861e-91,5.267819332051328e-90
CD14+ Monocytes,E2F3,-20.24471,,3.9549117828054583e-91,2.855531973144735e-90
CD14+ Monocytes,FFAR3,-20.265945,,2.569743697418548e-91,1.8621331140714114e-90
CD14+ Monocytes,MICU1,-20.294632,,1.4342210778133462e-91,1.0430698747733426e-90
CD14+ Monocytes,MAFF,-20.353096,,4.3586378272177203e-92,3.193141265360967e-91
CD14+ Monocytes,LYPD2,-20.355545,,4.1461048359631164e-92,3.048606497031703e-91
CD14+ Monocytes,PPBP,-20.382973,,2.368240035651627e-92,1.7542518782604645e-91
CD14+ Monocytes,C4orf33,-20.440552,,7.291147816838077e-93,5.461533945197061e-92
CD14+ Monocytes,CHN2,-20.483564,,3.017505905714693e-93,2.2946812971214394e-92
CD14+ Monocytes,TMEM102,-20.485674,,2.8895742853006492e-93,2.205781897176068e-92
CD14+ Monocytes,OTOF,-20.49003,1.1164927,2.6423199836762943e-93,2.0247662710163172e-92
CD14+ Monocytes,TMEM104,-20.491493,,2.5640879164123755e-93,1.9723753203172118e-92
CD14+ Monocytes,SLC2A13,-20.508337,,1.8138886009528586e-93,1.4006861783419757e-92
CD14+ Monocytes,KLF11,-20.54298,1.927911,8.893578367224225e-94,6.948108099393926e-93
CD14+ Monocytes,MAP3K7CL,-20.547506,,8.102107898232653e-94,6.354594429986394e-93
CD14+ Monocytes,RP11-1151B14.4,-20.555502,-0.7121605,6.871540988011691e-94,5.410662195284796e-93
CD14+ Monocytes,MVD,-20.593002,,3.170949890177096e-94,2.536759912141677e-93
CD14+ Monocytes,C1orf50,-20.60168,,2.650844887928595e-94,2.1377781354262864e-93
CD14+ Monocytes,ATP6V1A,-20.609337,,2.2631101671925064e-94,1.83247786817207e-93
CD14+ Monocytes,UBE2D4,-20.668514,,6.653335694082821e-95,5.431294444149242e-94
CD14+ Monocytes,ARSD,-20.680527,,5.18717759920423e-95,4.269281974653687e-94
