group,names,scores,logfoldchanges,pvals,pvals_adj
CD8 T cells,CCL5,24.774548,,1.6864698433455995e-135,3.372939686691199e-132
CD8 T cells,NKG7,22.953524,,1.358783392541829e-116,1.358783392541829e-113
CD8 T cells,B2M,18.922539,,7.438399857700358e-80,4.294345060318501e-77
CD8 T cells,GZMA,18.914959,,8.588690120637002e-80,4.294345060318501e-77
CD8 T cells,CST7,18.858608,,2.4970644403019326e-79,9.98825776120773e-77
CD8 T cells,IL32,18.401129,,1.286588335459425e-75,4.28862778486475e-73
CD8 T cells,CTSW,16.54608,,1.7087618481149155e-61,3.7972485513664793e-59
CD8 T cells,MALAT1,12.827907,,1.1441343859148396e-37,7.113342128253197e-36
CD8 T cells,GZMK,12.82593,,1.1737014511617776e-37,7.113342128253197e-36
CD8 T cells,GZMH,10.236671,,1.3582971580399184e-24,5.544070032815993e-23
CD8 T cells,LYAR,9.256956,,2.1034320905982e-20,6.278901762979701e-19
CD8 T cells,PRF1,8.918192,,4.739645131298972e-19,1.29853291268465e-17
CD8 T cells,KLRG1,8.752187,,2.092573983999223e-18,5.166849343207958e-17
CD8 T cells,CD2,8.544332,,1.2928284172949975e-17,3.0781628983214225e-16
CD8 T cells,VPS13A,8.180604,,2.824243604862669e-16,6.27609689969482e-15
CD8 T cells,PCNX,8.148474,,3.6854465400238266e-16,8.011840304399623e-15
CD8 T cells,AMIGO1,8.100774,0.23685019,5.461077742833742e-16,1.1497005774386825e-14
CD8 T cells,CENPF,8.092453,,5.847505338626823e-16,1.205671203840582e-14
CD8 T cells,ANKRA2,8.061312,,7.548019977559269e-16,1.5096039955118538e-14
CD8 T cells,RP3-325F22.5,8.012499,,1.1240095092401895e-15,2.1825427363887175e-14
CD8 T cells,STT3A,7.984859,-2.943259,1.4068321912094267e-15,2.679680364208432e-14
CD8 T cells,ZNF428,7.960102,,1.7189707489328783e-15,3.2130294372577165e-14
CD8 T cells,RHBDD3,7.953017,,1.8202297285294868e-15,3.347656562120876e-14
CD8 T cells,CYB561,7.934769,,2.1088726124145374e-15,3.7997704728189864e-14
CD8 T cells,PACRGL,7.92546,1.2904812,2.2730388692696996e-15,4.058997980838749e-14
CD8 T cells,NPHP3,7.9224114,,2.3294795367141184e-15,4.122972631352422e-14
CD8 T cells,WBP5,7.9089828,0.08502337,2.5950043962600035e-15,4.528006540962632e-14
CD8 T cells,DPY30,7.8848443,,3.1492822310550764e-15,5.429796950094959e-14
CD8 T cells,GIMAP7,7.8667197,,3.640613223611065e-15,6.223270467711223e-14
CD8 T cells,C1R,7.8530025,,4.061931655390438e-15,6.884629924390573e-14
CD8 T cells,FOPNL,7.833354,,4.750245817721474e-15,7.917076362869124e-14
CD8 T cells,DHX36,7.822891,,5.162374803930336e-15,8.532850915587333e-14
CD8 T cells,TRIT1,7.812099,,5.624345267963484e-15,9.220238144202433e-14
CD8 T cells,ADAL,7.8030367,,6.043506196197787e-15,9.826839343411036e-14
CD8 T cells,SPATA7,7.764151,1.0033473,8.219388248991201e-15,1.325707782095355e-13
CD8 T cells,RUNDC1,7.749157,6.1316957,9.25045075800004e-15,1.4800721212800064e-13
CD8 T cells,BUB3,7.7452025,,9.542951430678215e-15,1.5147541953457484e-13
CD8 T cells,PEMT,7.7050815,,1.3075984268398811e-14,2.0431225419373142e-13
CD8 T cells,C1orf51,7.6881104,,1.4932406735862546e-14,2.315101819513573e-13
CD8 T cells,GPATCH4,7.6727867,,1.682991083724604e-14,2.5892170518840057e-13
CD8 T cells,AP001046.6,7.6628594,,1.8183827449920765e-14,2.776156862583323e-13
CD8 T cells,SYNE2,7.654415,,1.9419409259295326e-14,2.9423347362568676e-13
CD8 T cells,CASC7,7.641728,,2.1432577700931294e-14,3.1988921941688495e-13
CD8 T cells,TOB1,7.6292877,,2.3605405532220245e-14,3.4970971158844804e-13
CD8 T cells,SMU1,7.617342,,2.5895236615086635e-14,3.8081230316303873e-13
CD8 T cells,RRS1,7.6103396,,2.7337700024709762e-14,3.990905113096315e-13
CD8 T cells,DENND5B,7.595428,1.5465223,3.0677709681031146e-14,4.414058946910956e-13
CD8 T cells,HDAC1,7.584306,,3.3427148820614063e-14,4.775306974373438e-13
CD8 T cells,RARS,7.582576,,3.38760787857113e-14,4.805117558256922e-13
CD8 T cells,LITAF,7.563957,,3.909889478763107e-14,5.506886589807193e-13
CD8 T cells,DPY19L4,7.5629683,3.9168527,3.939732925700148e-14,5.510115980000208e-13
CD8 T cells,ALDH7A1,7.549622,-0.018007448,4.365228255460311e-14,6.062817021472654e-13
CD8 T cells,ORAI1,7.541466,,4.6471691258571434e-14,6.409888449458129e-13
CD8 T cells,GOLGB1,7.5355344,,4.863388915412343e-14,6.662176596455265e-13
CD8 T cells,AL928768.3,7.523671,2.9901297,5.325923656053824e-14,7.246154634086836e-13
CD8 T cells,FBXO41,7.514032,,5.733351920542545e-14,7.720039955816419e-13
CD8 T cells,BLZF1,7.512302,,5.809656293319942e-14,7.733756946888148e-13
CD8 T cells,MYCBP2,7.4989557,,6.432823577395437e-14,8.464241549204523e-13
CD8 T cells,MCOLN3,7.495743,-3.389004,6.592396811848391e-14,8.617512172350838e-13
CD8 T cells,CPLX1,7.477453,-3.0766852,7.577660678372546e-14,9.841117764120189e-13
CD8 T cells,DNMT3A,7.4729223,6.923754,7.843317114927404e-14,1.012040918055149e-12
CD8 T cells,MED27,7.462624,,8.481597380689136e-14,1.0873842795755302e-12
CD8 T cells,POLR3E,7.4596586,,8.674708268735452e-14,1.1050583781828601e-12
CD8 T cells,RIOK1,7.4501843,,9.32099996319152e-14,1.1724528255586819e-12
CD8 T cells,NAA25,7.4483304,,9.45287382865235e-14,1.1797811139266556e-12
CD8 T cells,TRIP11,7.4406276,,1.0020806055104324e-13,1.2295467552275243e-12
CD8 T cells,ACTR1B,7.4239035,,1.1371795519868858e-13,1.378399456953801e-12
CD8 T cells,EARS2,7.395316,,1.410721648879218e-13,1.6996646372038771e-12
CD8 T cells,UBA5,7.385348,,1.5205550632524316e-13,1.8101845991100376e-12
CD8 T cells,TMEM222,7.3816404,,1.5635102070520434e-13,1.8503079373396962e-12
CD8 T cells,ACTR6,7.3593965,,1.8474337362076184e-13,2.167418446992452e-12
CD8 T cells,MRPL42,7.3589845,,1.8531427721785468e-13,2.167418446992452e-12
CD8 T cells,PGRMC2,7.3518996,,1.9540951675677253e-13,2.2722036832182854e-12
CD8 T cells,ZFX,7.349181,2.063714,1.9942506112766338e-13,2.3054920361579585e-12
CD8 T cells,PLRG1,7.3239713,,2.40738138240695e-13,2.7671050372493678e-12
CD8 T cells,CAMK2G,7.3200994,,2.477875935088032e-13,2.8318582115291797e-12
CD8 T cells,DDX54,7.313426,,2.6041549502864067e-13,2.959266988961826e-12
CD8 T cells,CLYBL,7.2907705,,3.081875327485945e-13,3.4823450028089777e-12
CD8 T cells,FAM212A,7.288134,1.9715264,3.1427702126092714e-13,3.5136224546960682e-12
CD8 T cells,CCDC25,7.2880516,,3.144692096952981e-13,3.5136224546960682e-12
CD8 T cells,FN3KRP,7.284097,,3.238312603239708e-13,3.578245970430617e-12
CD8 T cells,SAAL1,7.2691035,,3.618815058948841e-13,3.976719844998727e-12
CD8 T cells,C19orf77,7.2588053,-1.6599323,3.9052415058402284e-13,4.244827723739379e-12
CD8 T cells,EGLN3,7.253821,-0.5450141,4.051754177894494e-13,4.380274786912967e-12
CD8 T cells,LZTS2,7.2449646,0.38400057,4.3255181297869665e-13,4.626222598702638e-12
CD8 T cells,NDUFAF4,7.2398567,,4.4915846907372494e-13,4.778281585890691e-12
CD8 T cells,PPP1R14B,7.229188,,4.85890047798577e-13,5.116183501289534e-12
CD8 T cells,RAD51B,7.229147,1.3748735,4.860374326225057e-13,5.116183501289534e-12
CD8 T cells,FAM154B,7.216048,0.6373652,5.352025343215369e-13,5.604215019073685e-12
CD8 T cells,PCP2,7.2120934,-0.74460727,5.509818115933673e-13,5.739393870764242e-12
CD8 T cells,LYSMD4,7.2093744,1.7144699,5.620940957564736e-13,5.8248092824505035e-12
CD8 T cells,ARL6,7.2050085,1.1804758,5.804031965648336e-13,5.98353810891581e-12
CD8 T cells,TXNRD3,7.1956162,0.80461794,6.217918376130534e-13,6.377352180646701e-12
CD8 T cells,ACTL6A,7.1787276,,7.03631424774594e-13,7.179912497699939e-12
CD8 T cells,COG4,7.174938,,7.233996768693438e-13,7.344159156033947e-12
CD8 T cells,IFIT5,7.1718073,,7.401403161684427e-13,7.47616480978225e-12
CD8 T cells,POLD2,7.165299,,7.761695128973537e-13,7.800698622083956e-12
CD8 T cells,TMX3,7.1632395,,7.879256849580286e-13,7.879256849580285e-12
CD8 T cells,LIN52,7.1545067,,8.397436822226387e-13,8.355658529578494e-12
CD8 T cells,RFC5,7.1525292,,8.5193253819197e-13,8.434975625663068e-12
CD8 T cells,ZBTB10,7.1510468,,8.611879740878541e-13,8.484610582146345e-12
CD8 T cells,FKBP3,7.143879,,9.073322736146092e-13,8.895414447202052e-12
CD8 T cells,SRPK1,7.1428905,,9.138845073730666e-13,8.909566505114345e-12
CD8 T cells,TSSC1,7.1422315,,9.182784392801114e-13,8.909566505114345e-12
CD8 T cells,AL928742.12,7.1416545,0.11095803,9.221401332793346e-13,8.909566505114345e-12
CD8 T cells,ANKAR,7.138277,-0.54851395,9.450807777581928e-13,9.087315170751855e-12
CD8 T cells,AAR2,7.111749,,1.1458136653755626e-12,1.0809562880901534e-11
CD8 T cells,HSP90AA1,7.1016984,,1.2323304737040525e-12,1.1478701619553452e-11
CD8 T cells,MMD,7.1008744,,1.2396997749117727e-12,1.1478701619553452e-11
CD8 T cells,NUP54,7.1008744,,1.2396997749117727e-12,1.1478701619553452e-11
CD8 T cells,SMCHD1,7.0526795,,1.7550469751776247e-12,1.617554815831912e-11
CD8 T cells,NOL11,7.0293646,,2.0747589437148904e-12,1.886144494286264e-11
CD8 T cells,BIK,7.024998,3.428425,2.1406867322275108e-12,1.9372730608393763e-11
CD8 T cells,EHMT2,7.0215383,,2.1943868356372693e-12,1.976925077150693e-11
CD8 T cells,C8orf44,7.0155244,,2.2908838518266436e-12,2.0435535249266626e-11
CD8 T cells,RNF113A,6.9997063,,2.5649942587781687e-12,2.2699064236974944e-11
CD8 T cells,DHX8,6.993157,,2.6876872523268525e-12,2.3680063897152884e-11
CD8 T cells,SLC40A1,6.9903145,,2.742705315380548e-12,2.405242300036038e-11
CD8 T cells,DIMT1,6.9817467,,2.9153258304663975e-12,2.5350659395359977e-11
CD8 T cells,ANKRD18A,6.9601617,0.78077596,3.3988188518705413e-12,2.9300162516125355e-11
CD8 T cells,TUBA4A,6.9410486,,3.89199703918776e-12,3.3234045249951634e-11
CD8 T cells,ELP6,6.940719,,3.9010875380494075e-12,3.3234045249951634e-11
CD8 T cells,SMARCC2,6.940225,,3.914762330611775e-12,3.3234045249951634e-11
CD8 T cells,KRBOX4,6.9399776,,3.9216173394942926e-12,3.3234045249951634e-11
CD8 T cells,KLHL24,6.934458,,4.0778157316648685e-12,3.441194710265712e-11
CD8 T cells,CBX5,6.9164157,,4.632135007174966e-12,3.892550426197451e-11
CD8 T cells,USP5,6.8975496,,5.290710550084763e-12,4.4273728452592156e-11
CD8 T cells,EIF5B,6.884121,,5.81453841424107e-12,4.845448678534225e-11
CD8 T cells,UNC45A,6.881114,,5.938625974846329e-12,4.928320311075792e-11
CD8 T cells,ZCCHC9,6.877942,,6.072325357241992e-12,5.0184507084644564e-11
CD8 T cells,LIG1,6.876212,,6.146491124797458e-12,5.058840431932064e-11
CD8 T cells,RASD1,6.8556986,2.087517,7.096489732876047e-12,5.7861537659717855e-11
CD8 T cells,PWP1,6.8552866,,7.1169691321452964e-12,5.7861537659717855e-11
CD8 T cells,TNFRSF21,6.847378,-0.65282756,7.521594720147803e-12,6.090360097285671e-11
CD8 T cells,TMEM87B,6.84573,,7.608686105092138e-12,6.136037181525918e-11
CD8 T cells,C14orf1,6.842517,,7.781365793356119e-12,6.250093006711742e-11
CD8 T cells,TRIM58,6.8264523,,8.704036041329336e-12,6.935486885521383e-11
CD8 T cells,RBM4,6.8252163,,8.779293671945553e-12,6.967693390432979e-11
CD8 T cells,RFC1,6.797453,,1.0648504642304913e-11,8.291512488443794e-11
CD8 T cells,WTAP,6.789214,,1.1274584469388225e-11,8.739987960766066e-11
CD8 T cells,SLFN5,6.786578,,1.148244182473609e-11,8.866750443811652e-11
CD8 T cells,LTV1,6.773973,,1.252928793274524e-11,9.61193338077453e-11
CD8 T cells,NDUFA5,6.7738085,,1.2543573061910763e-11,9.61193338077453e-11
CD8 T cells,SRM,6.771831,,1.2716243920117254e-11,9.707056427570423e-11
CD8 T cells,GGA2,6.7514825,,1.4634226367986594e-11,1.1128689253221744e-10
CD8 T cells,EIF2B1,6.749505,,1.4835034333524897e-11,1.11962523271886e-10
CD8 T cells,CITED4,6.7444797,,1.5357645801705237e-11,1.154710210654529e-10
CD8 T cells,DOCK10,6.741184,,1.571008522720483e-11,1.1767854102775153e-10
CD8 T cells,GDPD1,6.723389,,1.775454988848157e-11,1.3200408839019755e-10
CD8 T cells,PDCD2L,6.7219477,,1.7931159237252037e-11,1.3282340175742249e-10
CD8 T cells,METTL8,6.713256,,1.903288582957715e-11,1.399476899233614e-10
CD8 T cells,USP25,6.6980147,,2.1126985072022257e-11,1.542115698687756e-10
CD8 T cells,DHX9,6.6878815,,2.2642430078919366e-11,1.646722187557772e-10
CD8 T cells,PIK3R1,6.682856,,2.343296678215296e-11,1.6980410711705042e-10
CD8 T cells,TGFBR3L,6.6808786,0.3040527,2.3751349691831455e-11,1.7148988947170724e-10
CD8 T cells,SCFD1,6.6691804,,2.572361061267634e-11,1.8439864238477662e-10
CD8 T cells,REXO2,6.664567,,2.654472241903204e-11,1.8960516013594313e-10
CD8 T cells,CCND3,6.6583056,,2.770024586487109e-11,1.971547748389401e-10
CD8 T cells,MRPL9,6.6536922,,2.8583047501464922e-11,2.0271664894655976e-10
CD8 T cells,CGRRF1,6.6494904,,2.941094959672872e-11,2.078512338991429e-10
CD8 T cells,CD247,6.64463,,3.0398025016445776e-11,2.1407059870736463e-10
CD8 T cells,GOLT1B,6.6291413,,3.3764485782116135e-11,2.3694375987449924e-10
CD8 T cells,ZNF45,6.604756,4.201123,3.9817340665969445e-11,2.784429417200661e-10
CD8 T cells,JAKMIP1,6.5972586,,4.1882951877892884e-11,2.9085383248536727e-10
CD8 T cells,IDUA,6.587373,-0.30584055,4.47677843531346e-11,3.0981165642307684e-10
CD8 T cells,RP11-509J21.2,6.5856423,0.80153376,4.5292238051223456e-11,3.1236026242223073e-10
CD8 T cells,MRM1,6.583748,,4.5873537536971615e-11,3.1528204492764e-10
CD8 T cells,AP3M1,6.580617,,4.6849975621359e-11,3.20890243981911e-10
CD8 T cells,PITHD1,6.575921,,4.83528700237071e-11,3.30053720298342e-10
CD8 T cells,RGS1,6.5749736,,4.866175356784813e-11,3.310323371962458e-10
CD8 T cells,ZNF559,6.5567255,,5.5002083813220406e-11,3.728954834794604e-10
CD8 T cells,TNFRSF25,6.532422,,6.471441016220238e-11,4.3432490041746566e-10
CD8 T cells,NOP58,6.515245,,7.257107567351408e-11,4.806031501557224e-10
CD8 T cells,SF3B1,6.498068,,8.135807102154678e-11,5.370169704392527e-10
CD8 T cells,YTHDF2,6.4915595,,8.495231188075294e-11,5.588967886891641e-10
CD8 T cells,XRCC5,6.4904885,,8.555846035513413e-11,5.610390842959615e-10
CD8 T cells,ZNF468,6.489706,,8.600408727401154e-11,5.621182174771996e-10
CD8 T cells,COMMD8,6.4808497,,9.120756043514795e-11,5.94186061466762e-10
CD8 T cells,ZNF32,6.4775543,,9.32212817099046e-11,6.053329981162636e-10
CD8 T cells,IL16,6.475577,,9.44503108493423e-11,6.11328872811277e-10
CD8 T cells,MEOX1,6.470634,1.0995332,9.759260798805638e-11,6.296297289552025e-10
CD8 T cells,AEBP1,6.4603357,1.5874306,1.0447083934602066e-10,6.696848676026966e-10
CD8 T cells,HDDC3,6.4577,,1.0630650600988516e-10,6.792747987852087e-10
CD8 T cells,PPA2,6.448308,,1.131059080289305e-10,7.181327493900349e-10
CD8 T cells,ALG5,6.4450126,,1.155909754770587e-10,7.315884523864475e-10
CD8 T cells,CD84,6.434138,,1.2417629032324018e-10,7.785347355689039e-10
CD8 T cells,PIGU,6.4165897,,1.3936078184518027e-10,8.682914756709051e-10
CD8 T cells,ZSCAN5A,6.412553,,1.4310270522777197e-10,8.888366784333662e-10
CD8 T cells,NFATC1,6.4083514,,1.4710161536829552e-10,9.080346627672563e-10
CD8 T cells,DENND1C,6.403161,,1.5219243209204178e-10,9.336959024051642e-10
CD8 T cells,PRPF31,6.400607,,1.5476024029973197e-10,9.465458122307766e-10
CD8 T cells,DNAJB14,6.3867664,,1.6942989579589377e-10,1.0331091207066693e-09
CD8 T cells,MLLT10,6.385284,,1.7107998889846545e-10,1.0399999325134677e-09
CD8 T cells,C16orf80,6.378281,,1.7908665401315713e-10,1.0853736606858007e-09
CD8 T cells,ZNF747,6.3767157,,1.8092582558606173e-10,1.0932074053538473e-09
CD8 T cells,RNF139,6.367571,,1.920450714619197e-10,1.156898020854938e-09
CD8 T cells,RP11-70P17.1,6.3621335,,1.989701231878117e-10,1.195015754881752e-09
CD8 T cells,UBAC2,6.361145,,2.0025517034340892e-10,1.1991327565473587e-09
CD8 T cells,EGFL7,6.352577,0.7895149,2.1173722056098116e-10,1.2641028093192904e-09
CD8 T cells,ZFYVE28,6.350106,,2.151671990547833e-10,1.280757137230853e-09
CD8 T cells,SPG20,6.3432674,,2.2494208654373343e-10,1.3349678726631063e-09
CD8 T cells,PEX19,6.3408785,,2.2845861608651457e-10,1.3518261306894352e-09
CD8 T cells,XPOT,6.3328047,,2.407439665237282e-10,1.4203183865706676e-09
CD8 T cells,IL24,6.3260903,,2.514503201470659e-10,1.4747819363464275e-09
CD8 T cells,TXNDC5,6.3174815,-1.1547767,2.6586048206995565e-10,1.5547396612278107e-09
CD8 T cells,ZFAND4,6.3067713,,2.8491616552532515e-10,1.656489334449565e-09
CD8 T cells,TGFBR2,6.302982,,2.9197334480183605e-10,1.692599100300499e-09
CD8 T cells,ZNF394,6.3003454,,2.969830662382467e-10,1.7117179610273587e-09
CD8 T cells,TERF2IP,6.292354,,3.1268711584290444e-10,1.7867835191023112e-09
CD8 T cells,USP38,6.284775,,3.2832934836375583e-10,1.8708224977991788e-09
CD8 T cells,ARL2BP,6.2821383,,3.3394719572745865e-10,1.8974272484514696e-09
CD8 T cells,OSTC,6.268792,,3.638593127286209e-10,2.0615258511536596e-09
CD8 T cells,PRPF18,6.265414,,3.718351234948086e-10,2.10076340957519e-09
CD8 T cells,USP33,6.258906,,3.876872683100482e-10,2.184153624281962e-09
CD8 T cells,RP11-706O15.1,6.2511206,0.9247992,4.0751764182474263e-10,2.2894249540715878e-09
CD8 T cells,TNFRSF13B,6.2485256,,4.1434520814879536e-10,2.3212616703013747e-09
CD8 T cells,SRSF7,6.2401223,,4.3722852891453153e-10,2.4358135315572787e-09
CD8 T cells,TRUB2,6.2388043,,4.4092824102822367e-10,2.449601339045687e-09
CD8 T cells,LRRC8C,6.222492,3.70148,4.893191839233926e-10,2.7109096062237818e-09
CD8 T cells,SAMD4B,6.2191143,,4.999686334474821e-10,2.7622576433562545e-09
CD8 T cells,ARMCX5,6.216643,1.6362084,5.079038809901609e-10,2.790680664781104e-09
CD8 T cells,STMN1,6.213059,,5.196287188040397e-10,2.8472806509810394e-09
CD8 T cells,THEM4,6.210876,,5.269004666617554e-10,2.879237522741833e-09
CD8 T cells,DDB2,6.194729,,5.838552992672201e-10,3.181772748050246e-09
CD8 T cells,GYS1,6.1899505,-0.5671676,6.018316919442226e-10,3.2619603899415862e-09
CD8 T cells,CEP85L,6.183236,,6.280071032869683e-10,3.3946329907403694e-09
CD8 T cells,SEC31A,6.17438,,6.642373424716403e-10,3.580794299038492e-09
CD8 T cells,CCT2,6.172485,,6.722496737301378e-10,3.614245557688913e-09
CD8 T cells,PNO1,6.157161,,7.406037869086838e-10,3.960448058335207e-09
CD8 T cells,ENTPD3-AS1,6.1546073,2.646869,7.526368228991305e-10,4.01406305546203e-09
CD8 T cells,NONO,6.1532893,,7.589218248179401e-10,4.036818217116703e-09
CD8 T cells,PLA2G12A,6.14917,,7.788942134989936e-10,4.12863133193495e-09
CD8 T cells,DSCR9,6.148882,,7.803113217357056e-10,4.12863133193495e-09
CD8 T cells,ACADM,6.1443095,,8.031216076642464e-10,4.226955829811823e-09
CD8 T cells,DEGS1,6.1428266,,8.106582490642255e-10,4.255423879602233e-09
CD8 T cells,PEX16,6.141014,,8.199634205893822e-10,4.29300220203865e-09
CD8 T cells,MALT1,6.136812,2.6108928,8.419369798268434e-10,4.396537753664979e-09
CD8 T cells,RBM5,6.1301394,,8.780216856292549e-10,4.5730296126523695e-09
CD8 T cells,SREK1,6.1203356,,9.33785104209602e-10,4.838264788650788e-09
CD8 T cells,ZNF195,6.1134152,,9.75211661882236e-10,5.0139417063354035e-09
CD8 T cells,RGS16,6.1042705,,1.0327120009541947e-09,5.2743764252966785e-09
CD8 T cells,GADD45G,6.104106,,1.033777779358149e-09,5.2743764252966785e-09
CD8 T cells,GPR63,6.0935607,0.23689757,1.1042648761574957e-09,5.619668580954177e-09
CD8 T cells,GOT2,6.087382,,1.1477205228583752e-09,5.799550748424582e-09
CD8 T cells,DEPTOR,6.0872993,1.243993,1.1483110481880673e-09,5.799550748424582e-09
CD8 T cells,SERPINE1,6.0868874,-1.8542191,1.151268121055645e-09,5.799839400784105e-09
CD8 T cells,NUDT11,6.080173,0.18164073,1.2005282543675565e-09,6.017685485551661e-09
CD8 T cells,KRT1,6.079308,,1.2070221868624618e-09,6.0351109343123085e-09
CD8 T cells,SPIN1,6.071811,,1.2647561840676425e-09,6.308010893105448e-09
CD8 T cells,AKAP8,6.0652204,,1.3177282484438787e-09,6.55586193255661e-09
CD8 T cells,CISD1,6.0607715,,1.35470052029989e-09,6.7230795052103715e-09
CD8 T cells,GIMAP4,6.040505,,1.5363254317117724e-09,7.605571444117684e-09
CD8 T cells,PDXDC1,6.0384455,,1.5560598912805538e-09,7.684246376694092e-09
CD8 T cells,DIS3,6.0275707,,1.6644241142650578e-09,8.199133567808166e-09
CD8 T cells,RP11-349A22.5,6.025017,,1.6909203719422405e-09,8.309191016915188e-09
CD8 T cells,TBCC,6.024111,,1.7004207121266885e-09,8.335395647679845e-09
CD8 T cells,VPS51,6.021804,,1.7248387130028307e-09,8.43441913448817e-09
CD8 T cells,ZNF277,6.0134006,,1.8167131828416335e-09,8.840453444484836e-09
CD8 T cells,TIMM22,6.0038443,,1.9269981552984143e-09,9.35435997717677e-09
CD8 T cells,FBXO4,5.9973354,,2.0058117421528054e-09,9.666562612784605e-09
CD8 T cells,LARS,5.996924,,2.010904252212889e-09,9.66780890486966e-09
CD8 T cells,FNBP4,5.975751,,2.2903265558999638e-09,1.0958500267463943e-08
CD8 T cells,ANXA1,5.975092,,2.299605303907774e-09,1.0976636295502501e-08
CD8 T cells,CLPP,5.9671006,,2.4150651780988507e-09,1.150031037189929e-08
CD8 T cells,ZNF561,5.9617457,5.9296465,2.4955744308110882e-09,1.1855460478912533e-08
CD8 T cells,RDH14,5.9599333,,2.5234112373772094e-09,1.195929496387303e-08
CD8 T cells,RPL7L1,5.9550724,,2.599565915956484e-09,1.229109180121269e-08
CD8 T cells,IL27RA,5.949388,,2.691470012892111e-09,1.2695613268359016e-08
CD8 T cells,SNPH,5.9443626,-3.312877,2.7753479438550077e-09,1.3029802553309896e-08
CD8 T cells,HMGCL,5.9426327,2.7106614,2.8048087460700318e-09,1.3106582925560897e-08
CD8 T cells,FKBP5,5.933488,,2.9656609095541683e-09,1.3825924986266519e-08
CD8 T cells,ANKRD49,5.9177523,,3.2637086870584244e-09,1.5180040404922903e-08
CD8 T cells,TMEM229B,5.9149103,3.6468322,3.320569034846558e-09,1.540867301552927e-08
CD8 T cells,OCIAD1,5.906795,,3.488268770793945e-09,1.6149392457379376e-08
CD8 T cells,TNFRSF17,5.902099,3.8909507,3.589049643764744e-09,1.6501377672481583e-08
CD8 T cells,CHD7,5.898598,,3.666032230966646e-09,1.6816661609938743e-08
CD8 T cells,HNRNPH3,5.8922954,,3.808670986105476e-09,1.7430988494761902e-08
CD8 T cells,YTHDC1,5.8813386,,4.069620039944354e-09,1.8498272908837972e-08
CD8 T cells,ZWINT,5.8716173,,4.3156457740405544e-09,1.9483728099505887e-08
CD8 T cells,RP11-589C21.6,5.870464,,4.345778639688945e-09,1.957557945805831e-08
CD8 T cells,BTN3A2,5.869475,,4.371769698274796e-09,1.964840313831369e-08
CD8 T cells,ATP9A,5.859836,0.05209781,4.633241241169051e-09,2.0740672656173295e-08
CD8 T cells,NR3C1,5.8597536,,4.6355403386547315e-09,2.0740672656173295e-08
CD8 T cells,PNPLA8,5.8519273,,4.859092091699108e-09,2.1692375409371017e-08
CD8 T cells,RBM26-AS1,5.8493733,-2.3522162,4.934285000618505e-09,2.197899777558354e-08
CD8 T cells,METTL13,5.8468194,,5.010609633512647e-09,2.2269376148945096e-08
CD8 T cells,FXN,5.844595,,5.078020910228745e-09,2.2513639462717254e-08
CD8 T cells,DYNC2LI1,5.8442655,,5.0880825185740996e-09,2.2513639462717254e-08
CD8 T cells,BLCAP,5.841588,,5.1705553202449396e-09,2.282805880902843e-08
CD8 T cells,PGM2,5.839075,,5.249135038296624e-09,2.3073121047457687e-08
CD8 T cells,ZNF799,5.818644,-3.0393949,5.9326954792247375e-09,2.5906967158186627e-08
CD8 T cells,IL23A,5.8173256,,5.9796524726928345e-09,2.6055130599968778e-08
CD8 T cells,NECAB3,5.801096,,6.5882835435563675e-09,2.8644711058940728e-08
CD8 T cells,GIT2,5.7963176,,6.77867610796888e-09,2.9408573136524425e-08
CD8 T cells,APOBEC3G,5.7867613,,7.175647511251855e-09,3.099631754320456e-08
CD8 T cells,CTD-2353F22.1,5.7867613,0.27672902,7.175647511251855e-09,3.099631754320456e-08
CD8 T cells,GARS,5.7856903,,7.2215198390822715e-09,3.110600511851075e-08
CD8 T cells,AHSA1,5.7846193,,7.267677295247695e-09,3.1191748048273365e-08
CD8 T cells,ICOS,5.7823124,,7.368069876388046e-09,3.148747810422242e-08
CD8 T cells,IDO1,5.781077,-0.5868193,7.4224050264634586e-09,3.158470224027004e-08
CD8 T cells,CCDC107,5.771767,,7.84444264067766e-09,3.330973520457605e-08
CD8 T cells,ODC1,5.7670712,,8.06609197368529e-09,3.417835582070039e-08
CD8 T cells,CCDC91,5.761799,,8.322220626829731e-09,3.518909355953375e-08
CD8 T cells,TCEAL8,5.7566085,,8.582062357042787e-09,3.62112335740202e-08
CD8 T cells,BANP,5.724643,,1.0365124160685424e-08,4.336872033759592e-08
CD8 T cells,PEX26,5.7183824,,1.0754305756254728e-08,4.490315555847486e-08
CD8 T cells,ZBED5-AS1,5.712945,,1.1103771073837041e-08,4.626571280765434e-08
CD8 T cells,UQCC1,5.700505,,1.1945320393933029e-08,4.96686918666654e-08
CD8 T cells,PTPRN2,5.699022,,1.2049679606170118e-08,4.999867056502124e-08
CD8 T cells,DLST,5.697539,,1.2154924514761343e-08,5.0330950371682583e-08
CD8 T cells,LRRC26,5.667304,-3.6251042,1.4506197205559717e-08,5.957370515630274e-08
CD8 T cells,MKLN1,5.655276,,1.5559628299897745e-08,6.331122982737202e-08
CD8 T cells,ARPC5L,5.6551933,,1.5567093679251896e-08,6.331122982737202e-08
CD8 T cells,ANKRD27,5.655111,,1.5574562537533516e-08,6.331122982737202e-08
CD8 T cells,MTIF2,5.6348443,-0.4914496,1.75216467592209e-08,7.108173127472981e-08
